Year,NPRI_ID / No_INRP,NAICS / Code_SCIAN,Quantity,Material
2016,1236,331410,0.4896,ARSENIC
2016,1471,331410,76,ARSENIC
2016,2537,562210,37183,ARSENIC
2016,2607,322112,62.29,ARSENIC
2016,3185,322121,43.2206,ARSENIC
2016,3475,326114,4.9637,ARSENIC
2016,3824,331110,1258.2185,ARSENIC
2016,3855,331110,2262.078,ARSENIC
2015,1236,331410,0.56,ARSENIC
2015,1471,331410,70,ARSENIC
2015,2537,562210,13468,ARSENIC
2015,2607,322112,57.23,ARSENIC
2015,3185,322121,42.66,ARSENIC
2015,3475,326114,4.0452,ARSENIC
2015,3701,324110,0.4,ARSENIC
2015,3824,331110,1650.852,ARSENIC
2015,3855,331110,3500,ARSENIC
2014,1236,331410,0.6732,ARSENIC
2014,1471,331410,64,ARSENIC
2014,2537,562210,4279,ARSENIC
2014,2607,322112,33.74,ARSENIC
2014,3185,322121,48.71,ARSENIC
2014,3824,331110,1738.831,ARSENIC
2014,3855,331110,3970,ARSENIC
2013,1236,331410,0.6228,ARSENIC
2013,1471,331410,55,ARSENIC
2013,1809,221112,569,ARSENIC
2013,1861,221112,0,ARSENIC
2013,2537,562210,2750,ARSENIC
2013,2607,322112,33.391,ARSENIC
2013,3185,322121,38.89,ARSENIC
2013,3824,331110,1350.204,ARSENIC
2012,1236,331410,0.3285,ARSENIC
2012,1471,331410,148,ARSENIC
2012,1809,221112,793,ARSENIC
2012,1861,221112,0,ARSENIC
2012,2537,562210,8081,ARSENIC
2012,2607,322112,17.2,ARSENIC
2012,3185,322121,50.72,ARSENIC
2012,3238,221112,33,ARSENIC
2012,11903,418110,1062.536,ARSENIC
2011,917,322121,0,ARSENIC
2011,917,322121,0,ARSENIC
2011,917,322121,0,ARSENIC
2011,1236,331410,0.1534,ARSENIC
2011,1465,212232,0,ARSENIC
2011,1465,212232,0,ARSENIC
2011,1465,212232,0,ARSENIC
2011,1471,331410,157,ARSENIC
2011,1471,331410,0,ARSENIC
2011,1471,331410,0,ARSENIC
2011,1520,331110,0,ARSENIC
