Year of last filed report / Année de déclaration la plus récente,NPRI ID / ID INRP,Company Name / Raison Sociale,Facility Name / Nom de l'installation,Address line 1 / Première ligne d’adresse,Address line 2 / Deuxième ligne d’adresse,City / Ville,Province / Province,Postal Code / Code postal,Physical Land Survey Description / Description de l'arpentage,National Topographical Description / Description topographique nationale,Latitude / Latitude,Longitude / Longitude,Datum / Datum,NAICS / Code SCIAN,Key Industrial Sector Code / Code des Secteurs industriels clés,Key Industrial Sector (English) / Secteurs industriels clés (Anglais),Key Industrial Sector (French) / Secteurs industriels clés (Français),Census Division (CD) Unique ID / No unique de la Division de recensement (DR),Census Division (CD) Name / Nom de la Division de recensement (DR),Census Sub Division (CSD) Unique ID / No unique de la Subdivision de recensement (SDR),Census Sub Division (CSD) Name / Nom de la Subdivision de recensement (SDR),Census Metropolitan Area (CMA) Unique ID / No unique de la Région métropolitaine de recensement (RMR),Census Metropolitan Area (CMA) Name / Nom de la Région métropolitaine de recensement (RMR),Economic Region (ER) Unique ID / No unique de la Région économique (RE),Economic Region (ER) Name / Nom de la Région économique (RE),Forward Sortation Area (FSA) / Région de tri d'acheminement (RTA),Ecozone Unique ID / No unique de l’écozone,English Ecozone Name / Nom anglais de l’écozone,French Ecozone Name / Nom français de l’écozone,Unique ID of the Major Drainage Area from the Water Survey of Canada (WSC) / No unique de l’aire de drainage principale des Relevés hydrologiques du Canada (RHC),Major Drainage Area English Name / Nom anglais de l’aire de drainage principale ,Major Drainage Area French Name / Nom français de l’aire de drainage principale ,Sulphur Oxide Management Area (SOMA) / Zone de gestion des oxydes de soufre (ZGOS),Ontario Pollution Emission Management Area (PEMA) / Zone de gestion des émission de polluants (ZGEP) de l'Ontario,Quebec Pollution Emission Management Area (PEMA) / Zone de gestion des émission de polluants (ZGEP) du Québec,Quebec City-Windsor Corridor / Corridor Québec-Windsor
2016,34,BASF Canada Inc.,TORONTO SITE,10 Constellation Court,,Toronto,ON,M9W1K1,,,43.69,-79.59,1983,325210,3,Chemicals,Produits chimiques,3520,Toronto,3520005,Toronto,535,Toronto,3530,Toronto,M9W,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,15,Baycoat Ltd.,Baycoat,244 Lanark Street,,Hamilton,ON,L8N3K7,,,43.24,-79.75,1983,332810,6,Other Manufacturing,Autres fabrication,3525,Hamilton,3525005,Hamilton,537,Hamilton,3550,Hamilton--Niagara Peninsula,L8E,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,21,Bolton Steel Tube Co. Ltd.,Bolton Plant,455 Piercy Road,,Bolton,ON,L7E5B8,,,43.86,-79.73,1983,331210,5,Iron and Steel,Fer et acier,3521,Peel,3521024,Caledon,535,Toronto,3530,Toronto,L7E,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2011,22,NYLENE CANADA INC.,NYLENE CANADA INC.,200 McNab Street,,Arnprior,ON,K7S3P2,,,45.43,-76.33,1983,313110,6,Other Manufacturing,Autres fabrication,3547,Renfrew,3547002,Arnprior,507,Arnprior,3515,Kingston--Pembroke,K7S,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,28,BASF Canada Inc.,CORNWALL SITE,501 Wallrich Avenue,,Cornwall,ON,K6J2B5,,,45.01,-74.75,1983,325190,3,Chemicals,Produits chimiques,3501,"Stormont, Dundas and Glengarry",3501012,Cornwall,501,Cornwall,3510,Ottawa,K6J,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,31,BASF Canada Inc.,Windsor Site,845 Wyandotte Street West,,Windsor,ON,N9A5Y1,,,42.31,-83.04,1983,325510,3,Chemicals,Produits chimiques,3537,Essex,3537039,Windsor,559,Windsor,3570,Windsor--Sarnia,N9A,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,64,B&W Heat Treating Canada ULC,Plant No. 1,60 Steckle Place,,Kitchener,ON,N2G2C3,,,43.4,-80.46,1983,332810,6,Other Manufacturing,Autres fabrication,3530,Waterloo,3530013,Kitchener,541,Kitchener - Cambridge - Waterloo,3540,Kitchener--Waterloo--Barrie,N2R,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,65,Battenfeld Grease (Canada) Ltd.,BATTENFELD GREASE (CANADA) Ltd,68 Titan Road,,Toronto,ON,M8Z2J8,,,43.62,-79.52,1983,324190,12,Petroleum and Coal Product Refining and Mfg.,Fabrication et raffinage des produits du pétrole et du charbon,3520,Toronto,3520005,Toronto,535,Toronto,3530,Toronto,M8Z,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,70,TI Automotive Canada Inc.,Bramalea Plant,316 Orenda Road,,Bramalea,ON,L6T1G3,,,43.7,-79.7,1983,336340,15,Transportation Equipment Mfg.,Fabrication de matériel de transport,3521,Peel,3521010,Brampton,535,Toronto,3530,Toronto,L6T,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
2016,92,CCL Container Canada,CCL Container - Aerosol Division Penetanguishene,163 Robert Street,,Penetanguishene,ON,L9M2G2,,,44.77,-79.91,1983,331317,1,Aluminum,Aluminium,3543,Simcoe,3543072,Penetanguishene,571,Midland,3540,Kitchener--Waterloo--Barrie,L9M,8,MixedWood Plain,Plaines à forêts mixtes,2,St. Lawrence Drainage Area,Aire de drainage du Saint-Laurent,1,1,0,1
