STATION,PARM,RESULT,YEAR
06001400102,ASUT,0.5,2000
06001400102,ASUT,0.5,2000
06001400102,ASUT,0.5,2000
06001400102,ASUT,0.5,2000
06001400102,ASUT,0.5,2000
06001400102,ASUT,0.5,2000
06001400102,ASUT,0.5,2000
06001400102,ASUT,0.5,2000
06001400102,ASUT,0.5,2000
06001400102,ASUT,0.5,2000
06001400102,ASUT,0.5,2000
06001400102,ASUT,0.5,2000
06001700102,ASUT,0.5,2000
06001700102,ASUT,0.5,2000
06001700102,ASUT,0.5,2000
06001700102,ASUT,0.5,2000
06001700102,ASUT,0.5,2000
06001700102,ASUT,0.5,2000
06001700102,ASUT,0.5,2000
06001700102,ASUT,0.5,2000
06001700102,ASUT,0.5,2000
06001700102,ASUT,0.5,2000
06001700102,ASUT,0.5,2000
06001700102,ASUT,0.5,2000
06001700702,ASUT,0.5,2000
06001700702,ASUT,0.5,2000
06001700702,ASUT,0.5,2000
06001700702,ASUT,0.5,2000
06001700702,ASUT,0.5,2000
06001700702,ASUT,0.5,2000
06001700702,ASUT,1,2000
06001700702,ASUT,0.5,2000
06001700702,ASUT,0.5,2000
06001700702,ASUT,0.5,2000
06001700702,ASUT,0.5,2000
06001700902,ASUT,0.5,2000
06001700902,ASUT,0.5,2000
06001700902,ASUT,0.5,2000
06001700902,ASUT,1,2000
06001700902,ASUT,0.5,2000
06001700902,ASUT,0.5,2000
06001700902,ASUT,0.5,2000
06001700902,ASUT,0.5,2000
06001700902,ASUT,0.5,2000
06001700902,ASUT,0.5,2000
06001700902,ASUT,0.5,2000
06001700902,ASUT,1,2000
17002600102,ASUT,2,2000
17002600102,ASUT,2,2000
17002600102,ASUT,3,2000
17002600102,ASUT,3.5,2000
17002600102,ASUT,3.5,2000
17002600102,ASUT,3,2000
17002600102,ASUT,4,2000
17002600102,ASUT,5.5,2000
17002600102,ASUT,3,2000
17002600202,ASUT,2,2000
17002600202,ASUT,6.5,2000
17002600202,ASUT,2.5,2000
17002600202,ASUT,3,2000
17002600202,ASUT,3.5,2000
17002600202,ASUT,3.5,2000
17002600202,ASUT,5,2000
17002600202,ASUT,5.5,2000
17002600202,ASUT,3.5,2000
17002600302,ASUT,2.5,2000
17002600302,ASUT,2.5,2000
17002600302,ASUT,4,2000
17002600302,ASUT,3.5,2000
17002600302,ASUT,4.5,2000
17002600302,ASUT,2,2000
17002600302,ASUT,6,2000
17002600302,ASUT,7.5,2000
17002600302,ASUT,12,2000
17002600302,ASUT,5,2000
17002600402,ASUT,2.5,2000
17002600402,ASUT,2,2000
17002600402,ASUT,3.5,2000
17002600402,ASUT,3.5,2000
17002600402,ASUT,5,2000
17002600402,ASUT,2.5,2000
17002600402,ASUT,7,2000
17002600402,ASUT,6,2000
17002600402,ASUT,11,2000
17002600402,ASUT,5.5,2000
17002600602,ASUT,3,2000
17002600602,ASUT,12,2000
17002600602,ASUT,4,2000
17002600602,ASUT,4,2000
17002600602,ASUT,5.5,2000
17002600602,ASUT,2.5,2000
17002600602,ASUT,9.5,2000
17002600602,ASUT,1,2000
17002600602,ASUT,40,2000
17002600602,ASUT,5,2000
17002600702,ASUT,0.5,2000
17002600702,ASUT,0.5,2000
17002600702,ASUT,0.5,2000
17002600702,ASUT,0.5,2000
17002600702,ASUT,0.5,2000
17002600702,ASUT,0.5,2000
17002600702,ASUT,0.5,2000
17002600702,ASUT,0.5,2000
17002600702,ASUT,2,2000
17002600702,ASUT,1,2000
17002600902,ASUT,0.5,2000
17002600902,ASUT,0.5,2000
17002600902,ASUT,0.5,2000
17002600902,ASUT,0.5,2000
17002600902,ASUT,0.5,2000
17002600902,ASUT,0.5,2000
17002600902,ASUT,0.5,2000
17002600902,ASUT,0.5,2000
17002600902,ASUT,0.5,2000
17002600902,ASUT,0.5,2000
17002601002,ASUT,0.5,2000
17002601002,ASUT,0.5,2000
17002601002,ASUT,0.5,2000
17002601002,ASUT,0.5,2000
17002601002,ASUT,0.5,2000
17002601002,ASUT,0.5,2000
17002601002,ASUT,0.5,2000
17002601002,ASUT,39,2000
17002601002,ASUT,1,2000
17002601002,ASUT,0.5,2000
17002601101,ASUT,12,2000
17002601101,ASUT,13,2000
17002601101,ASUT,10,2000
17002601101,ASUT,15,2000
17002601101,ASUT,16,2000
17002601101,ASUT,16,2000
17002601101,ASUT,26,2000
17002601101,ASUT,0.5,2000
17002601101,ASUT,54,2000
17002601101,ASUT,20,2000
17002601202,ASUT,0.5,2000
17002601202,ASUT,0.5,2000
17002601202,ASUT,0.5,2000
17002601202,ASUT,0.5,2000
17002601202,ASUT,0.5,2000
17002601202,ASUT,0.5,2000
17002601202,ASUT,0.5,2000
17002601202,ASUT,0.5,2000
17002601202,ASUT,0.5,2000
17002601202,ASUT,0.5,2000
17002601302,ASUT,12,2000
17002601302,ASUT,22,2000
17002601302,ASUT,15,2000
17002601302,ASUT,9.5,2000
17002601302,ASUT,12,2000
17002601302,ASUT,15,2000
17002601302,ASUT,58,2000
17002601302,ASUT,12,2000
17002601302,ASUT,27,2000
17002601302,ASUT,48,2000
17002601902,ASUT,0.5,2000
17002601902,ASUT,0.5,2000
17002601902,ASUT,0.5,2000
17002601902,ASUT,1,2000
17002601902,ASUT,0.5,2000
17002601902,ASUT,0.5,2000
17002601902,ASUT,0.5,2000
17002601902,ASUT,36,2000
17002601902,ASUT,0.5,2000
17002601902,ASUT,0.5,2000
17002602302,ASUT,13,2000
17002602302,ASUT,2,2000
17002602302,ASUT,14,2000
17002602302,ASUT,10,2000
17002602302,ASUT,16,2000
17002602302,ASUT,10,2000
17002602302,ASUT,30,2000
17002602302,ASUT,63,2000
17002602302,ASUT,12,2000
17002602302,ASUT,24,2000
06001400102,ASUT,0.5,2001
06001400102,ASUT,0.5,2001
06001400102,ASUT,0.5,2001
06001400102,ASUT,0.5,2001
06001400102,ASUT,0.5,2001
06001400102,ASUT,0.5,2001
06001400102,ASUT,0.5,2001
06001400102,ASUT,0.5,2001
06001400102,ASUT,0.5,2001
06001400102,ASUT,0.5,2001
06001400102,ASUT,0.5,2001
06001400102,ASUT,0.5,2001
06001700102,ASUT,0.5,2001
06001700102,ASUT,0.5,2001
06001700102,ASUT,0.5,2001
06001700102,ASUT,0.5,2001
06001700102,ASUT,0.5,2001
06001700102,ASUT,0.5,2001
06001700102,ASUT,0.5,2001
06001700102,ASUT,0.5,2001
06001700102,ASUT,0.5,2001
06001700102,ASUT,0.5,2001
06001700102,ASUT,0.5,2001
06001700702,ASUT,0.5,2001
06001700702,ASUT,0.5,2001
06001700702,ASUT,0.5,2001
06001700702,ASUT,0.5,2001
06001700702,ASUT,0.5,2001
06001700702,ASUT,0.5,2001
06001700702,ASUT,1,2001
06001700702,ASUT,1,2001
06001700702,ASUT,0.5,2001
06001700702,ASUT,1,2001
06001700702,ASUT,0.5,2001
06001700702,ASUT,0.5,2001
06001700902,ASUT,1,2001
06001700902,ASUT,0.5,2001
06001700902,ASUT,1,2001
06001700902,ASUT,1,2001
06001700902,ASUT,0.5,2001
06001700902,ASUT,0.5,2001
06001700902,ASUT,0.5,2001
06001700902,ASUT,0.5,2001
06001700902,ASUT,1,2001
06001700902,ASUT,1,2001
06001700902,ASUT,0.5,2001
17002600102,ASUT,2.5,2001
17002600202,ASUT,2.5,2001
17002600302,ASUT,2.5,2001
17002600402,ASUT,3,2001
17002600602,ASUT,3,2001
17002600702,ASUT,0.5,2001
17002600902,ASUT,0.5,2001
17002601002,ASUT,0.5,2001
17002601101,ASUT,7,2001
17002601202,ASUT,0.5,2001
17002601302,ASUT,9,2001
17002601902,ASUT,0.5,2001
17002602302,ASUT,8,2001
03006600102,ASUT,0.5000,2002
03007000302,ASUT,0.5000,2002
03007000302,ASUT,0.5000,2002
03007000402,ASUT,0.5000,2002
03007000402,ASUT,0.5000,2002
03007000502,ASUT,0.5000,2002
03007000502,ASUT,0.5000,2002
03007300202,ASUT,0.5000,2002
03007300202,ASUT,0.5000,2002
03007300302,ASUT,0.5000,2002
03007300302,ASUT,0.5000,2002
03007500202,ASUT,0.5000,2002
03007500202,ASUT,0.5000,2002
03007600302,ASUT,0.5000,2002
03007600302,ASUT,0.5000,2002
03007600402,ASUT,0.5000,2002
03007600402,ASUT,0.5000,2002
03007600502,ASUT,0.5000,2002
03007600502,ASUT,0.5000,2002
03007600602,ASUT,0.5000,2002
03007600602,ASUT,0.5000,2002
03007701302,ASUT,0.5000,2002
03007701302,ASUT,0.5000,2002
06001400102,ASUT,0.5000,2002
06001400102,ASUT,0.5000,2002
06001400102,ASUT,0.5000,2002
06001400102,ASUT,0.5000,2002
06001400102,ASUT,0.5000,2002
06001700102,ASUT,0.5000,2002
06001700102,ASUT,0.5000,2002
06001700102,ASUT,0.5000,2002
06001700102,ASUT,1.0000,2002
06001700102,ASUT,0.5000,2002
06001700702,ASUT,0.5000,2002
06001700702,ASUT,0.5000,2002
06001700702,ASUT,0.5000,2002
06001700702,ASUT,1.0000,2002
06001700702,ASUT,1.5000,2002
06001700702,ASUT,1.0000,2002
06001700902,ASUT,1.0000,2002
06001700902,ASUT,0.5000,2002
06001700902,ASUT,1.0000,2002
06001700902,ASUT,1.0000,2002
06001700902,ASUT,1.0000,2002
06001700902,ASUT,1.0000,2002
16010900702,ASUT,0.5000,2002
16010900802,ASUT,0.5000,2002
16012401102,ASUT,0.5000,2002
16012401202,ASUT,0.5000,2002
16012401302,ASUT,0.5000,2002
16012401402,ASUT,0.5000,2002
16015900302,ASUT,0.5000,2002
16015901002,ASUT,0.5000,2002
16016400102,ASUT,1.0000,2002
06001700702,ASUT,1.0000,2002
06001700702,ASUT,0.5000,2002
06001700702,ASUT,0.5000,2002
06001700702,ASUT,0.5000,2002
06001700902,ASUT,1.0000,2002
06001700902,ASUT,1.0000,2002
06001700902,ASUT,0.5000,2002
06001700902,ASUT,0.5000,2002
17002600102,ASUT,2.5000,2002
17002600102,ASUT,3.0000,2002
17002600202,ASUT,3.0000,2002
17002600202,ASUT,3.5000,2002
17002600302,ASUT,7.5000,2002
17002600302,ASUT,6.5000,2002
17002600402,ASUT,8.0000,2002
17002600402,ASUT,7.0000,2002
17002600602,ASUT,1.5000,2002
17002600602,ASUT,8.0000,2002
17002600702,ASUT,0.5000,2002
17002600702,ASUT,0.5000,2002
17002600902,ASUT,0.5000,2002
17002600902,ASUT,0.5000,2002
17002601002,ASUT,0.5000,2002
17002601002,ASUT,0.5000,2002
17002601101,ASUT,46.0000,2002
17002601101,ASUT,38.0000,2002
17002601202,ASUT,0.5000,2002
17002601202,ASUT,0.5000,2002
17002601302,ASUT,60.0000,2002
17002601302,ASUT,24.0000,2002
17002601902,ASUT,0.5000,2002
17002601902,ASUT,0.5000,2002
17002602302,ASUT,28.0000,2002
17002602302,ASUT,29.0000,2002
06001700702,ASUT,0.5000,2003
06001700702,ASUT,0.5000,2003
06001700702,ASUT,1.0000,2003
06001700702,ASUT,1.0000,2003
06001700902,ASUT,1.0000,2003
06001700902,ASUT,0.5000,2003
06001700902,ASUT,1.0000,2003
06001700902,ASUT,1.0000,2003
06008301902,ASUT,0.5000,2003
06008301902,ASUT,0.5000,2003
06008501402,ASUT,0.5000,2003
06008501402,ASUT,0.5000,2003
17002600102,ASUT,2.5000,2003
17002600102,ASUT,3.5000,2003
17002600102,ASUT,4.5000,2003
17002600202,ASUT,2.5000,2003
17002600202,ASUT,3.0000,2003
17002600202,ASUT,4.5000,2003
17002600302,ASUT,3.0000,2003
17002600302,ASUT,4.5000,2003
17002600302,ASUT,6.0000,2003
17002600402,ASUT,3.0000,2003
17002600402,ASUT,4.0000,2003
17002600402,ASUT,6.0000,2003
17002600602,ASUT,3.5000,2003
17002600602,ASUT,9.5000,2003
17002600602,ASUT,6.0000,2003
17002600702,ASUT,0.5000,2003
17002600702,ASUT,0.5000,2003
17002600702,ASUT,1.0000,2003
17002600902,ASUT,0.5000,2003
17002600902,ASUT,0.5000,2003
17002600902,ASUT,0.5000,2003
17002601002,ASUT,0.5000,2003
17002601002,ASUT,0.5000,2003
17002601002,ASUT,0.5000,2003
17002601101,ASUT,12.0000,2003
17002601101,ASUT,20.0000,2003
17002601101,ASUT,41.0000,2003
17002601202,ASUT,0.5000,2003
17002601202,ASUT,0.5000,2003
17002601202,ASUT,1.0000,2003
17002601302,ASUT,13.0000,2003
17002601302,ASUT,37.0000,2003
17002601302,ASUT,61.0000,2003
17002601902,ASUT,0.5000,2003
17002601902,ASUT,0.5000,2003
17002601902,ASUT,0.5000,2003
17002602302,ASUT,9.0000,2003
17002602302,ASUT,18.0000,2003
17002602302,ASUT,21.0000,2003
06001700702,ASUT,1.0000,2003
06001700702,ASUT,1.0000,2003
06001700702,ASUT,1.0000,2003
06001700702,ASUT,1.0000,2003
06001700702,ASUT,0.5000,2003
06001700902,ASUT,0.5000,2003
06001700902,ASUT,1.0000,2003
06001700902,ASUT,1.5000,2003
06001700902,ASUT,1.0000,2003
06001700902,ASUT,1.0000,2003
06008301902,ASUT,0.5000,2003
06008301902,ASUT,0.5000,2003
06008301902,ASUT,0.5000,2003
06008301902,ASUT,0.5000,2003
06008301902,ASUT,0.5000,2003
06008301902,ASUT,0.5000,2003
06008301902,ASUT,0.5000,2003
06008301902,ASUT,0.5000,2003
06008301902,ASUT,0.5000,2003
06008501402,ASUT,0.5000,2003
06008501402,ASUT,0.5000,2003
06008501402,ASUT,0.5000,2003
06008501402,ASUT,0.5000,2003
06008501402,ASUT,0.5000,2003
06008501402,ASUT,0.5000,2003
06008501402,ASUT,0.5000,2003
06008501402,ASUT,1.0000,2003
06008501402,ASUT,0.5000,2003
17002600102,ASUT,5.0000,2003
17002600102,ASUT,4.5000,2003
17002600102,ASUT,7.5000,2003
17002600102,ASUT,6.0000,2003
17002600202,ASUT,5.5000,2003
17002600202,ASUT,5.0000,2003
17002600202,ASUT,7.5000,2003
